accession	category	label	seq_hit	pident	tm_score	struct_hit	is_mimic	esm2_cos	essential	amr_associated
A0A0H3GQX9	C	Structural mimic	False		0.6891	True	False	0.9642	True	False
A0A0H3GIC7	C2	Partial structural mimic	False		0.4463	True	True	0.9846	True	False
A0A0H3GLN5	C	Structural mimic	False		0.6708	True	False	0.9835	True	False
A0A0H3GGG7	C	Structural mimic	False		0.8969	True	False	0.9073	True	False
A0A0H3GN28	C	Structural mimic	False		0.552	True	False	0.9712	True	False
A0A0H3GQN7	C	Structural mimic	False		0.6146	True	False	0.9667	True	False
A0A0H3H117	C	Structural mimic	False		0.7242	True	False	0.9582	True	False
A0A0H3GV33	C2	Partial structural mimic	False		0.3737	True	True	0.9891	True	False
A0A0H3GQX7	C	Structural mimic	False		0.7251	True	False	0.9835	True	False
A0A0H3GQY5	C	Structural mimic	False		0.6646	True	False	0.9655	True	False
A0A0H3GZ82	C	Structural mimic	False		0.7216	True	False	0.9433	True	False
A0A0H3GH98	C	Structural mimic	False		0.6261	True	False	0.98	True	False
A0A0H3GRT7	C	Structural mimic	False		0.8442	True	False	0.9663	True	False
A0A0H3GN30	C2	Partial structural mimic	False		0.4878	True	True	0.9718	True	False
A0A0H3GPX8	C	Structural mimic	False		0.6228	True	False	0.9616	True	False
A0A0H3GZI0	C	Structural mimic	False		0.8516	True	False	0.9671	True	False
A0A0H3GV86	C	Structural mimic	False		0.675	True	False	0.9789	True	False
A0A0H3GK19	C2	Partial structural mimic	False		0.305	True	True	0.9672	True	False
A0A0H3GV85	C2	Partial structural mimic	False		0.4216	True	True	0.9891	True	False
A0A0H3GRH4	C	Structural mimic	False		0.6129	True	False	0.959	True	False
A0A0H3GMW8	C2	Partial structural mimic	False		0.3116	True	True	0.9429	True	False
A0A0H3GPP3	C2	Partial structural mimic	False		0.4496	True	True	0.9897	True	False
A0A0H3H3Z1	C	Structural mimic	False		0.9248	True	False	0.9762	True	False
A0A0H3GPS6	C	Structural mimic	False		0.8769	True	False	0.9074	True	False
A0A0H3GV07	C	Structural mimic	False		0.702	True	False	0.9689	True	False
A0A0H3H049	C	Structural mimic	False		0.7343	True	False	0.988	True	False
A0A0H3GTE2	C	Structural mimic	False		0.7148	True	False	0.9681	True	False
A0A0H3GQ40	C2	Partial structural mimic	False		0.3657	True	True	0.9859	True	False
A0A0H3GW58	C	Structural mimic	False		0.7595	True	False	0.9722	True	False
A0A0H3GLF2	C	Structural mimic	False		0.8557	True	False	0.9435	True	False
A0A0H3GGM9	C2	Partial structural mimic	False		0.3116	True	True	0.8748	True	False
A0A0H3GXA5	C	Structural mimic	False		0.8281	True	False	0.9822	True	False
A0A0H3GYI5	C	Structural mimic	False		0.5408	True	False	0.966	True	False
A0A0H3GTS8	C	Structural mimic	False		0.6152	True	False	0.9225	True	False
A0A0H3H1M1	C	Structural mimic	False		0.5299	True	False	0.9557	True	False
A0A0H3GWQ5	C	Structural mimic	False		0.7535	True	False	0.9616	True	False
A0A0H3H3W4	C	Structural mimic	False		0.6842	True	False	0.9832	True	False
A0A0H3GQ97	C	Structural mimic	False		0.6979	True	False	0.9685	True	False
A0A0H3GP76	C	Structural mimic	False		0.8511	True	False	0.9694	True	False
A0A0H3GR40	C	Structural mimic	False		0.8903	True	False	0.9863	True	False
A0A0H3GSH7	C	Structural mimic	False		0.7513	True	False	0.9444	True	False
A0A0H3GTT0	C	Structural mimic	False		0.8229	True	False	0.9687	True	False
A0A0H3H0Z7	C	Structural mimic	False		0.5714	True	False	0.9617	True	False
A0A0H3GLZ2	C	Structural mimic	False		0.5596	True	False	0.9356	True	False
A0A0H3GZ27	C2	Partial structural mimic	False		0.4001	True	True	0.8847	True	False
A0A0H3GT65	C	Structural mimic	False		0.6107	True	False	0.8933	True	False
A0A0H3GR15	C2	Partial structural mimic	False		0.4398	True	True	0.9799	True	False
A0A0H3GNG6	C	Structural mimic	False		0.5871	True	False	0.9859	True	False
A0A0H3GRB5	C	Structural mimic	False		0.6866	True	False	0.9781	True	False
A0A0H3GSN0	C	Structural mimic	False		0.6291	True	False	0.9714	True	False
A0A0H3GRG8	C	Structural mimic	False		0.6234	True	False	0.9537	True	False
A0A0H3GJ37	C	Structural mimic	False		0.8635	True	False	0.9656	True	False
A0A0H3H0J1	C	Structural mimic	False		0.6296	True	False	0.962	True	False
A0A0H3GUH6	C	Structural mimic	False		0.6555	True	False	0.969	True	False
A0A0H3GX39	C	Structural mimic	False		0.6055	True	False	0.9697	True	False
A0A0H3GQL6	C	Structural mimic	False		0.7392	True	False	0.9829	True	False
A0A0H3GJK2	C2	Partial structural mimic	False		0.4168	True	True		True	False
A0A0H3GUD5	C	Structural mimic	False		0.6725	True	False	0.8547	True	False
A0A0H3H3G3	C	Structural mimic	False		0.6249	True	False	0.9258	True	False
A0A0H3GIT2	C	Structural mimic	False		0.6546	True	False	0.9771	True	False
A0A0H3GLD7	C	Structural mimic	False		0.7537	True	False	0.9369	True	False
A0A0H3GTR0	C	Structural mimic	False		0.7103	True	False	0.9815	True	False
A0A0H3GJM2	C	Structural mimic	False		0.7154	True	False	0.9829	True	False
A0A0H3GHX5	C	Structural mimic	False		0.8529	True	False	0.937	True	False
A0A0H3GNW2	C2	Partial structural mimic	False		0.3616	True	True	0.8675	True	False
A0A0H3GR26	C	Structural mimic	False		0.7904	True	False	0.9697	True	False
A0A0H3GKB6	C2	Partial structural mimic	False		0.3271	True	True	0.9465	True	False
A0A0H3H038	C2	Partial structural mimic	False		0.3641	True	True	0.906	True	False
A0A0H3GSA1	C	Structural mimic	False		0.5557	True	False	0.9497	True	False
A0A0H3GVB1	C2	Partial structural mimic	False		0.4368	True	True	0.9538	True	False
A0A0H3GQM4	C2	Partial structural mimic	False		0.4655	True	True	0.975	True	False
A0A0H3GTP1	C	Structural mimic	False		0.6155	True	False	0.9811	True	False
A0A0H3GYR1	C	Structural mimic	False		0.6977	True	False	0.9455	True	False
A0A0H3GMS2	C	Structural mimic	False		0.6584	True	False	0.9307	True	False
A0A0H3GM02	C	Structural mimic	False		0.7059	True	False	0.9813	True	False
A0A0H3GNP4	C2	Partial structural mimic	False		0.4046	True	True		True	False
A0A0H3H3F4	C	Structural mimic	False		0.5988	True	False	0.9741	True	False
A0A0H3GU58	C	Structural mimic	False		0.536	True	False	0.9786	True	False
A0A0H3GS34	C2	Partial structural mimic	False		0.3645	True	True	0.9321	True	False
A0A0H3GL55	C	Structural mimic	False		0.9038	True	False	0.9783	True	False
A0A0H3GZS7	C	Structural mimic	False		0.714	True	False	0.9556	True	False
A0A0H3GH01	C	Structural mimic	False		0.7347	True	False	0.9823	True	False
A0A0H3H4D8	C	Structural mimic	False		0.8669	True	False	0.9391	True	False
A0A0H3GZG2	C	Structural mimic	False		0.8536	True	False	0.976	True	False
A0A0H3H069	C	Structural mimic	False		0.7504	True	False	0.9611	True	False
A0A0H3GGT9	C	Structural mimic	False		0.9788	True	False	0.9933	True	False
A0A0H3GMU4	C	Structural mimic	False		0.8088	True	False	0.9823	True	False
A0A0H3H447	C	Structural mimic	False		0.5589	True	False	0.9826	True	False
A0A0H3GLN8	C	Structural mimic	False		0.7563	True	False	0.9515	True	False
A0A0H3GWM9	C	Structural mimic	False		0.958	True	False	0.9882	True	False
A0A0H3GW19	C	Structural mimic	False		0.5105	True	False	0.9894	True	False
A0A0H3GXB9	C	Structural mimic	False		0.7079	True	False	0.9818	True	False
A0A0H3GXL3	C	Structural mimic	False		0.5688	True	False	0.9713	True	False
A0A0H3GW84	C	Structural mimic	False		0.8176	True	False	0.9517	True	False
A0A0H3GQL2	C	Structural mimic	False		0.9061	True	False	0.9685	True	False
A0A0H3GKD9	C	Structural mimic	False		0.9446	True	False	0.9691	True	False
A0A0H3GHY0	C2	Partial structural mimic	False		0.4605	True	True	0.9628	True	False
A0A0H3GLF3	C	Structural mimic	False		0.823	True	False	0.9641	True	False
A0A0H3H4I2	C2	Partial structural mimic	False		0.4356	True	True	0.916	True	False
A0A0H3GP00	C	Structural mimic	False		0.7054	True	False	0.9573	True	False
A0A0H3GHD6	C	Structural mimic	False		0.5243	True	False	0.9446	True	False
A0A0H3GYB8	C	Structural mimic	False		0.8182	True	False	0.9879	True	False
A0A0H3GMT8	C2	Partial structural mimic	False		0.3169	True	True	0.983	True	False
A0A0H3H0Q7	C	Structural mimic	False		0.7214	True	False	0.971	True	False
A0A0H3GQ64	C2	Partial structural mimic	False		0.4362	True	True	0.9707	True	False
A0A0H3GGW4	C	Structural mimic	False		0.5546	True	False	0.8933	True	False
A0A0H3GPZ2	C2	Partial structural mimic	False		0.4519	True	True	0.9711	True	False
A0A0H3GQ38	C	Structural mimic	False		0.7582	True	False	0.9527	True	False
A0A0H3GMU8	C	Structural mimic	False		0.6948	True	False	0.952	True	False
A0A0H3GVR7	C	Structural mimic	False		0.8486	True	False	0.9853	True	False
A0A0H3H3B2	C2	Partial structural mimic	False		0.4298	True	True	0.9696	True	False
A0A0H3GN89	C	Structural mimic	False		0.7628	True	False	0.9451	True	False
A0A0H3GT51	C	Structural mimic	False		0.6584	True	False	0.9852	True	False
A0A0H3GSS4	C	Structural mimic	False		0.7417	True	False	0.9802	True	False
A0A0H3GX16	C	Structural mimic	False		0.7138	True	False	0.9502	True	False
A0A0H3GRX4	C	Structural mimic	False		0.9165	True	False	0.9793	True	False
A0A0H3GV24	C	Structural mimic	False		0.8489	True	False	0.9551	True	False
A0A0H3GSP6	C	Structural mimic	False		0.7269	True	False	0.9676	True	False
A0A0H3GT04	C	Structural mimic	False		0.8274	True	False	0.9598	True	False
A0A0H3GUB9	C	Structural mimic	False		0.7083	True	False	0.8947	True	False
A0A0H3GUB1	C	Structural mimic	False		0.6434	True	False	0.9688	True	False
A0A0H3GRF1	C	Structural mimic	False		0.8311	True	False	0.9577	True	False
A0A0H3GL86	C	Structural mimic	False		0.7843	True	False	0.9565	True	False
A0A0H3GW23	C	Structural mimic	False		0.7611	True	False	0.9717	True	False
A0A0H3GMA7	C2	Partial structural mimic	False		0.4858	True	True	0.9692	True	False
A0A0H3GLY0	C2	Partial structural mimic	False		0.4396	True	True	0.9615	True	False
A0A0H3GPH9	C	Structural mimic	False		0.8016	True	False	0.9666	True	False
A0A0H3GSV8	C	Structural mimic	False		0.6282	True	False	0.9763	True	False
A0A0H3GVX4	C2	Partial structural mimic	False		0.4609	True	True	0.9836	True	False
A0A0H3GJU2	C	Structural mimic	False		0.8344	True	False	0.9516	True	False
A0A0H3GSE2	C	Structural mimic	False		0.8495	True	False	0.9713	True	False
A0A0H3H138	C	Structural mimic	False		0.5265	True	False	0.9539	True	False
A0A0H3GW04	C	Structural mimic	False		0.7848	True	False	0.959	True	False
A0A0H3GMG1	C	Structural mimic	False		0.8425	True	False	0.9697	True	False
A0A0H3GPU0	C2	Partial structural mimic	False		0.3766	True	True	0.8723	True	False
A0A0H3GGK6	C	Structural mimic	False		0.7178	True	False	0.9644	True	False
A0A0H3GTU0	C2	Partial structural mimic	False		0.3716	True	True	0.9529	True	False
A0A0H3GXJ7	C	Structural mimic	False		0.7341	True	False	0.973	True	False
A0A0H3GP74	C	Structural mimic	False		0.5151	True	False	0.9566	True	False
A0A0H3GXG7	C	Structural mimic	False		0.5571	True	False	0.973	True	False
A0A0H3GGI2	C	Structural mimic	False		0.5431	True	False	0.9652	True	False
A0A0H3GI27	C	Structural mimic	False		0.7149	True	False	0.9791	True	False
A0A0H3GW97	C	Structural mimic	False		0.7569	True	False	0.9507	True	False
A0A0H3GJW2	C	Structural mimic	False		0.825	True	False	0.9777	True	False
A0A0H3GYQ2	C2	Partial structural mimic	False		0.3194	True	True	0.8757	True	False
A0A0H3GRS6	C	Structural mimic	False		0.9353	True	False	0.9254	True	False
A0A0H3GU61	C	Structural mimic	False		0.6553	True	False	0.9773	True	False
A0A0H3GP65	C2	Partial structural mimic	False		0.467	True	True	0.9577	True	False
A0A0H3GNK2	C	Structural mimic	False		0.6509	True	False	0.9281	True	False
A0A0H3GUJ9	C	Structural mimic	False		0.7684	True	False	0.9887	True	False
A0A0H3GI03	C	Structural mimic	False		0.5372	True	False	0.9678	True	False
A0A0H3GVP8	C	Structural mimic	False		0.8046	True	False	0.9329	True	False
A0A0H3GLX2	C	Structural mimic	False		0.5486	True	False	0.9317	True	False
A0A0H3GV99	C	Structural mimic	False		0.5744	True	False	0.9458	True	False
A0A0H3GVT0	C	Structural mimic	False		0.5973	True	False	0.9796	True	False
A0A0H3GZA9	C2	Partial structural mimic	False		0.3932	True	True	0.8813	True	False
A0A0H3GS46	C	Structural mimic	False		0.5785	True	False	0.9903	True	False
A0A0H3GJN5	C	Structural mimic	False		0.836	True	False	0.9779	True	False
A0A0H3GW17	C	Structural mimic	False		0.536	True	False	0.9776	True	False
A0A0H3GL09	C2	Partial structural mimic	False		0.4748	True	True	0.9871	True	False
A0A0H3GMJ8	C	Structural mimic	False		0.8318	True	False	0.9791	True	False
A0A0H3GZZ1	C	Structural mimic	False		0.839	True	False	0.9225	True	False
A0A0H3H4I5	C2	Partial structural mimic	False		0.4921	True	True	0.9518	True	False
A0A0H3GVY6	C	Structural mimic	False		0.9418	True	False	0.9875	True	False
A0A0H3GPH6	C	Structural mimic	False		0.7346	True	False	0.9386	True	False
A0A0H3GXS6	C	Structural mimic	False		0.6696	True	False	0.9197	True	False
A0A0H3GWP8	C	Structural mimic	False		0.8308	True	False	0.9779	True	False
A0A0H3GTY7	C2	Partial structural mimic	False		0.4471	True	True	0.9216	True	False
A0A0H3GL69	C	Structural mimic	False		0.784	True	False	0.977	True	False
A0A0H3GPK5	C2	Partial structural mimic	False		0.4165	True	True		True	False
A0A0H3GLB7	C	Structural mimic	False		0.656	True	False	0.9847	True	False
A0A0H3GRR0	C	Structural mimic	False		0.5959	True	False	0.9801	True	False
A0A0H3GPF2	C2	Partial structural mimic	False		0.4074	True	True	0.8751	True	False
A0A0H3GW65	C	Structural mimic	False		0.7499	True	False	0.9823	True	False
A0A0H3GU90	C	Structural mimic	False		0.5778	True	False	0.9533	True	False
A0A0H3GRE2	C	Structural mimic	False		0.7844	True	False	0.9777	True	False
A0A0H3H084	C	Structural mimic	False		0.9375	True	False	0.972	True	False
A0A0H3GKE3	C	Structural mimic	False		0.6714	True	False	0.9837	True	False
A0A0H3GUQ7	C2	Partial structural mimic	False		0.3814	True	True	0.9749	True	False
A0A0H3GTZ3	C2	Partial structural mimic	False		0.4074	True	True		True	False
A0A0H3GUQ0	C2	Partial structural mimic	False		0.4493	True	True	0.9761	True	False
A0A0H3GMQ9	C	Structural mimic	False		0.5513	True	False	0.9804	True	False
A0A0H3GTL2	C	Structural mimic	False		0.6147	True	False	0.9337	True	False
A0A0H3GWN8	C	Structural mimic	False		0.561	True	False	0.9746	True	False
A0A0H3GP01	C	Structural mimic	False		0.6607	True	False	0.9835	True	False
A0A0H3GVB0	C	Structural mimic	False		0.7012	True	False	0.9122	True	False
A0A0H3GN61	C	Structural mimic	False		0.8502	True	False	0.9875	True	False
A0A0H3GIH6	C	Structural mimic	False		0.8527	True	False	0.9504	True	False
A0A0H3H1Z0	C	Structural mimic	False		0.5937	True	False	0.9307	True	False
A0A0H3GL82	C	Structural mimic	False		0.6012	True	False	0.9789	True	False
A0A0H3GPL5	C	Structural mimic	False		0.7296	True	False	0.9715	True	False
A0A0H3GHC8	C2	Partial structural mimic	False		0.3425	True	True	0.9889	True	False
A0A0H3GQ67	C	Structural mimic	False		0.8576	True	False	0.9667	True	False
A0A0H3GMP8	C	Structural mimic	False		0.8612	True	False	0.9584	True	False
A0A0H3GUP2	C2	Partial structural mimic	False		0.3356	True	True	0.95	True	False
A0A0H3GTW0	C	Structural mimic	False		0.898	True	False	0.9867	True	False
A0A0H3GKA9	C	Structural mimic	False		0.6312	True	False	0.9621	True	False
A0A0H3H2G9	C2	Partial structural mimic	False		0.3101	True	True	0.9484	True	False
A0A0H3H365	C2	Partial structural mimic	False		0.3705	True	True	0.9842	True	False
A0A0H3GTT5	C	Structural mimic	False		0.7069	True	False	0.9675	True	False
A0A0H3GYY9	C	Structural mimic	False		0.9371	True	False	0.9508	True	False
A0A0H3GXH8	C2	Partial structural mimic	False		0.3994	True	True	0.8522	True	False
A0A0H3GS85	C	Structural mimic	False		0.8724	True	False	0.9611	True	False
A0A0H3GMJ9	C	Structural mimic	False		0.8067	True	False	0.9493	True	False
A0A0H3GHE2	C	Structural mimic	False		0.6199	True	False	0.9463	True	False
A0A0H3GR61	C2	Partial structural mimic	False		0.4957	True	True	0.9836	True	False
A0A0H3GLU0	C	Structural mimic	False		0.8326	True	False	0.9433	True	False
A0A0H3GZU3	C	Structural mimic	False		0.7142	True	False	0.8562	True	False
A0A0H3GRC2	C	Structural mimic	False		0.7675	True	False	0.9758	True	False
A0A0H3GPZ6	C	Structural mimic	False		0.591	True	False	0.9664	True	False
A0A0H3GV18	C	Structural mimic	False		0.8719	True	False	0.974	True	False
A0A0H3GKI2	C	Structural mimic	False		0.5682	True	False	0.983	True	False
A0A0H3GP72	C	Structural mimic	False		0.575	True	False	0.9735	True	False
A0A0H3GPE8	C	Structural mimic	False		0.6312	True	False	0.9388	True	False
A0A0H3GM89	C	Structural mimic	False		0.7142	True	False	0.9884	True	False
A0A0H3GXN1	C2	Partial structural mimic	False		0.3775	True	True	0.9785	True	False
A0A0H3GLM8	C	Structural mimic	False		0.8509	True	False	0.9601	True	False
A0A0H3GKN4	C	Structural mimic	False		0.8477	True	False	0.99	True	False
A0A0H3GP29	C	Structural mimic	False		0.8828	True	False	0.9627	True	False
A0A0H3GVZ1	C	Structural mimic	False		0.6046	True	False	0.9921	True	False
A0A0H3GWG3	C	Structural mimic	False		0.7551	True	False	0.9219	True	False
A0A0H3GUM6	C	Structural mimic	False		0.5953	True	False	0.8838	True	False
A0A0H3GRB9	C	Structural mimic	False		0.6023	True	False	0.959	True	False
A0A0H3GZA8	C	Structural mimic	False		0.9182	True	False	0.9843	True	False
A0A0H3GQZ7	C	Structural mimic	False		0.7442	True	False	0.9558	True	False
A0A0H3GYG2	C	Structural mimic	False		0.7229	True	False	0.9593	True	False
A0A0H3GJR1	C	Structural mimic	False		0.8759	True	False	0.9782	True	False
A0A0H3GLR1	C	Structural mimic	False		0.5822	True	False	0.9734	True	False
A0A0H3GLH2	C	Structural mimic	False		0.798	True	False	0.9823	True	False
A0A0H3GQR4	C2	Partial structural mimic	False		0.4367	True	True		True	False
A0A0H3GT08	C	Structural mimic	False		0.8372	True	False	0.986	True	False
A0A0H3GUP5	C	Structural mimic	False		0.8514	True	False	0.9745	True	False
A0A0H3GVS7	C	Structural mimic	False		0.7767	True	False	0.8762	True	False
A0A0H3GWX1	C2	Partial structural mimic	False		0.4571	True	True	0.9912	True	False
A0A0H3GI16	C	Structural mimic	False		0.8368	True	False	0.8732	True	False
A0A0H3GSH1	C	Structural mimic	False		0.5974	True	False	0.8442	True	False
A0A0H3GYK0	C	Structural mimic	False		0.6456	True	False	0.9152	True	False
A0A0H3GQU6	C	Structural mimic	False		0.84	True	False	0.9845	True	False
A0A0H3GLC1	C	Structural mimic	False		0.8237	True	False	0.9307	True	False
A0A0H3H1S5	C2	Partial structural mimic	False		0.455	True	True	0.8679	True	False
A0A0H3GP98	C	Structural mimic	False		0.834	True	False	0.9763	True	False
A0A0H3GYM3	C	Structural mimic	False		0.5082	True	False	0.9751	True	False
A0A0H3GPR7	C	Structural mimic	False		0.88	True	False	0.9716	True	False
A0A0H3GKA4	C	Structural mimic	False		0.6001	True	False	0.9445	True	False
A0A0H3H237	C	Structural mimic	False		0.6695	True	False	0.9578	True	False
A0A0H3GNE4	C	Structural mimic	False		0.5616	True	False	0.9691	True	False
A0A0H3GX18	C2	Partial structural mimic	False		0.3753	True	True	0.9677	True	False
A0A0H3GIN1	C	Structural mimic	False		0.8171	True	False	0.981	True	False
A0A0H3GLQ0	C	Structural mimic	False		0.8535	True	False	0.9591	True	False
A0A0H3GPY5	C	Structural mimic	False		0.8944	True	False	0.9919	True	False
A0A0H3GSX4	C	Structural mimic	False		0.7449	True	False	0.979	True	False
A0A0H3GVM8	C	Structural mimic	False		0.7875	True	False	0.9907	True	False
A0A0H3GQ07	C	Structural mimic	False		0.6272	True	False	0.9535	True	False
A0A0H3GW31	C	Structural mimic	False		0.8256	True	False	0.9208	True	False
A0A0H3GS90	C	Structural mimic	False		0.8781	True	False	0.9805	True	False
A0A0H3GL43	C	Structural mimic	False		0.8104	True	False	0.9747	True	False
A0A0H3GU78	C2	Partial structural mimic	False		0.4769	True	True	0.9898	True	False
A0A0H3GVJ3	C	Structural mimic	False		0.7422	True	False	0.8857	True	False
A0A0H3GG89	C	Structural mimic	False		0.5262	True	False	0.9868	True	False
A0A0H3GJV6	C	Structural mimic	False		0.6379	True	False	0.9233	True	False
A0A0H3GM35	C2	Partial structural mimic	False		0.3151	True	True	0.9647	True	False
A0A0H3GQM5	C	Structural mimic	False		0.9239	True	False	0.9904	True	False
A0A0H3GZ22	C	Structural mimic	False		0.822	True	False	0.984	True	False
A0A0H3GS19	C	Structural mimic	False		0.6307	True	False	0.9787	True	False
A0A0H3GUM7	C	Structural mimic	False		0.8159	True	False	0.9691	True	False
A0A0H3GUS2	C	Structural mimic	False		0.741	True	False	0.981	True	False
A0A0H3GXI6	C	Structural mimic	False		0.6893	True	False	0.9819	True	False
A0A0H3GX94	C	Structural mimic	False		0.8416	True	False	0.9589	True	False
A0A0H3GQ09	C	Structural mimic	False		0.7917	True	False	0.9175	True	False
A0A0H3GWS4	C	Structural mimic	False		0.7938	True	False	0.9756	True	False
A0A0H3GRL0	C	Structural mimic	False		0.6188	True	False	0.9882	True	False
A0A0H3GPH2	C	Structural mimic	False		0.5017	True	False	0.9708	True	False
A0A0H3GK62	C	Structural mimic	False		0.5876	True	False	0.9867	True	False
A0A0H3GH78	C	Structural mimic	False		0.8922	True	False	0.9713	True	False
A0A0H3GNA4	C	Structural mimic	False		0.7431	True	False	0.9419	True	False
A0A0H3GTG8	C	Structural mimic	False		0.7255	True	False	0.9088	True	False
A0A0H3GNY0	C	Structural mimic	False		0.8343	True	False	0.9685	True	False
A0A0H3GTY2	C2	Partial structural mimic	False		0.4335	True	True	0.9291	True	False
A0A0H3GPH8	C2	Partial structural mimic	False		0.387	True	True	0.9707	True	False
A0A0H3GPN4	C2	Partial structural mimic	False		0.305	True	True	0.9465	True	False
A0A0H3GU53	C2	Partial structural mimic	False		0.4143	True	True		True	False
A0A0H3GR24	C	Structural mimic	False		0.6173	True	False	0.9673	True	False
A0A0H3GR97	C	Structural mimic	False		0.5963	True	False	0.9702	True	False
A0A0H3GYU6	C	Structural mimic	False		0.8912	True	False	0.9689	True	False
A0A0H3GT15	C	Structural mimic	False		0.8583	True	False	0.919	True	False
A0A0H3GLS9	C	Structural mimic	False		0.7608	True	False	0.9529	True	False
A0A0H3GS66	C	Structural mimic	False		0.7655	True	False	0.9837	True	False
A0A0H3GZI3	C2	Partial structural mimic	False		0.4326	True	True	0.9712	True	False
A0A0H3GJ43	C	Structural mimic	False		0.8636	True	False	0.9414	True	False
A0A0H3GMA1	C	Structural mimic	False		0.7418	True	False	0.9356	True	False
A0A0H3GLH6	C	Structural mimic	False		0.9203	True	False	0.9698	True	False
A0A0H3GRA3	C	Structural mimic	False		0.8034	True	False	0.9605	True	False
A0A0H3GY76	C	Structural mimic	False		0.8534	True	False	0.9276	True	False
A0A0H3GJ60	C	Structural mimic	False		0.7183	True	False	0.977	True	False
A0A0H3GIS2	C	Structural mimic	False		0.7991	True	False	0.9661	True	False
A0A0H3GTD0	C2	Partial structural mimic	False		0.4266	True	True	0.9541	True	False
A0A0H3GZ80	C2	Partial structural mimic	False		0.4018	True	True	0.9553	True	False
A0A0H3GTX2	C	Structural mimic	False		0.7495	True	False	0.9529	True	False
A0A0H3GRF2	C	Structural mimic	False		0.8368	True	False	0.9635	True	False
A0A0H3GK13	C	Structural mimic	False		0.8329	True	False	0.9757	True	False
A0A0H3GWS6	C	Structural mimic	False		0.7828	True	False	0.9878	True	False
A0A0H3GNL4	C	Structural mimic	False		0.9208	True	False	0.9632	True	False
A0A0H3GV20	C2	Partial structural mimic	False		0.4708	True	True	0.9873	True	False
A0A0H3GT05	C	Structural mimic	False		0.8423	True	False	0.9427	True	False
A0A0H3GT44	C2	Partial structural mimic	False		0.4805	True	True	0.9819	True	False
A0A0H3GKU1	C2	Partial structural mimic	False		0.4879	True	True	0.9711	True	False
A0A0H3GXC2	C	Structural mimic	False		0.742	True	False	0.9639	True	False
A0A0H3GQ31	C	Structural mimic	False		0.719	True	False	0.9824	True	False
A0A0H3GQ66	C	Structural mimic	False		0.7519	True	False	0.9519	True	False
A0A0H3GQ44	C	Structural mimic	False		0.5311	True	False	0.9288	True	False
