accession	protein_name	gene_names	reviewed	length	go	subcellular_location	keywords	ec
A0A0H3GH10	HTH-type transcriptional repressor FabR	fabR KPHS_01050	unreviewed	211	cytoplasm [GO:0005737]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; fatty acid biosynthetic process [GO:0006633]; negative regulation of fatty acid biosynthetic process [GO:0045717]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01190}.	Cytoplasm;DNA-binding;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;Reference proteome;Repressor;Transcription;Transcription regulation	
A0A0H3GRD3	Aldehyde-alcohol dehydrogenase	KPHS_31950	unreviewed	891	acetaldehyde dehydrogenase (acetylating) activity [GO:0008774]; alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]; alcohol metabolic process [GO:0006066]; carbon utilization [GO:0015976]		Iron;Metal-binding;Multifunctional enzyme;NAD;Oxidoreductase;Reference proteome	
A0A0H3GSL9	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	queA KPHS_10960	unreviewed	354	cytoplasm [GO:0005737]; S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity [GO:0051075]; tRNA queuosine(34) biosynthetic process [GO:0008616]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_00113}.	Cytoplasm;Queuosine biosynthesis;Reference proteome;S-adenosyl-L-methionine;Transferase	2.4.99.17
A0A0H3GX11	Nickel-responsive regulator	nikR KPHS_50100	unreviewed	132	DNA-binding transcription factor activity [GO:0003700]; nickel cation binding [GO:0016151]; sequence-specific DNA binding [GO:0043565]; response to nickel cation [GO:0010045]		DNA-binding;Metal-binding;Nickel;Reference proteome;Repressor;Transcription;Transcription regulation	
A0A0H3GH87	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	KPHS_04120	unreviewed	451	outer membrane-bounded periplasmic space [GO:0030288]; N-acetylmuramoyl-L-alanine amidase activity [GO:0008745]; cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]	SUBCELLULAR LOCATION: Periplasm {ECO:0000256|ARBA:ARBA00004418}.	Cell wall biogenesis/degradation;Hydrolase;Periplasm;Reference proteome;Signal	3.5.1.28
A0A0H3GRH5	NADP-dependent malic enzyme (EC 1.1.1.40)	KPHS_38670	unreviewed	759	acyltransferase activity [GO:0016746]; malate dehydrogenase (decarboxylating) (NADP+) activity [GO:0004473]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; malate metabolic process [GO:0006108]		Metal-binding;Multifunctional enzyme;NADP;Oxidoreductase;Reference proteome	1.1.1.40
A0A0H3GGX1	Autoinducer 2 import system permease protein LsrC	KPHS_00600	unreviewed	335	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GJP9	tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase)	tilS KPHS_09350	unreviewed	437	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; tRNA(Ile)-lysidine synthase activity [GO:0032267]; tRNA modification [GO:0006400]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_01161}.	ATP-binding;Cytoplasm;Ligase;Nucleotide-binding;Reference proteome;tRNA processing	6.3.4.19
A0A0H3GK73	Molybdenum transport system permease	KPHS_16020	unreviewed	229	plasma membrane [GO:0005886]; molybdate ion transmembrane transporter activity [GO:0015098]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429, ECO:0000256|RuleBase:RU365097}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429, ECO:0000256|RuleBase:RU365097}. Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}.	Cell inner membrane;Cell membrane;Membrane;Molybdenum;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3H2U8	Putative pre-16S rRNA nuclease (EC 3.1.-.-)	yqgF KPHS_44510	unreviewed	138	cytosol [GO:0005829]; hydrolase activity, acting on ester bonds [GO:0016788]; nuclease activity [GO:0004518]; rRNA 5'-end processing [GO:0000967]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00651}.	Cytoplasm;Hydrolase;Nuclease;Reference proteome;Ribosome biogenesis	3.1.-.-
A0A0H3GKD2	Protein-export membrane protein SecF	secF KPHS_11000	unreviewed	323	plasma membrane [GO:0005886]; protein-transporting ATPase activity [GO:0015450]; intracellular protein transmembrane transport [GO:0065002]; protein targeting [GO:0006605]; protein transport by the Sec complex [GO:0043952]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_01464}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_01464}. Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell inner membrane;Cell membrane;Membrane;Protein transport;Reference proteome;Translocation;Transmembrane;Transmembrane helix;Transport	
A0A0H3GLR5	Regulator of sigma D	rsd KPHS_02140	unreviewed	165	cytoplasm [GO:0005737]; regulation of DNA-templated transcription [GO:0006355]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01181}.	Cytoplasm;Reference proteome;Transcription;Transcription regulation	
A0A0H3GRI2	PTS system glucose-specific EIICB component (EC 2.7.1.199) (EIICB-Glc)	KPHS_19780	unreviewed	477	plasma membrane [GO:0005886]; D-glucose transmembrane transporter activity [GO:0055056]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-glucose phosphotransferase system transporter activity [GO:0090564]; D-glucose transmembrane transport [GO:1904659]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Kinase;Membrane;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport	2.7.1.199
A0A0H3GRW3	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	KPHS_08610	unreviewed	204	carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]; carbon utilization [GO:0015976]		Lyase;Metal-binding;Reference proteome;Zinc	4.2.1.1
A0A0H3GU14	Large ribosomal subunit protein uL18	rplR KPHS_48520	unreviewed	117	cytosolic large ribosomal subunit [GO:0022625]; 5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]		Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding	
A0A0H3GV04	Nitrate/nitrite response regulator protein NarL	KPHS_32130	unreviewed	216	ATP binding [GO:0005524]; DNA binding [GO:0003677]; nitrate assimilation [GO:0042128]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]		Activator;ATP-binding;DNA-binding;Nitrate assimilation;Nucleotide-binding;Phosphoprotein;Reference proteome;Repressor;Transcription;Transcription regulation;Two-component regulatory system	
A0A0H3H3P3	Ribonuclease G	KPHS_47860	unreviewed	489	cytoplasm [GO:0005737]; endonuclease activity [GO:0004519]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; RNA nuclease activity [GO:0004540]; rRNA binding [GO:0019843]; tRNA binding [GO:0000049]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.	Cytoplasm;Endonuclease;Hydrolase;Magnesium;Metal-binding;Nuclease;Reference proteome;RNA-binding;rRNA processing;rRNA-binding;tRNA processing;tRNA-binding	
A0A0H3H3W7	Large ribosomal subunit protein uL23	rplW KPHS_48660	unreviewed	100	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]		Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding	
A0A0H3GHQ7	DNA-binding dual transcriptional regulator OmpR (Transcriptional regulatory protein OmpR)	KPHS_03250	unreviewed	242	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]; regulation of DNA-templated transcription [GO:0006355]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.	Cytoplasm;DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system	
A0A0H3GM98	Pyruvate formate-lyase-activating enzyme (EC 1.97.1.4)	KPHS_18100	unreviewed	246	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; [formate-C-acetyltransferase]-activating enzyme activity [GO:0043365]; lyase activity [GO:0016829]; metal ion binding [GO:0046872]; glucose metabolic process [GO:0006006]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|RuleBase:RU362053}.	4Fe-4S;Carbohydrate metabolism;Cytoplasm;Glucose metabolism;Iron;Iron-sulfur;Lyase;Metal-binding;Oxidoreductase;Pyruvate;Reference proteome;S-adenosyl-L-methionine	1.97.1.4
A0A0H3GR00	Inner membrane ABC transporter permease protein YejB	KPHS_36770	unreviewed	364	plasma membrane [GO:0005886]; microcin transport [GO:0042884]; transmembrane transport [GO:0055085]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}. Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GR62	ATP synthase subunit	KPHS_31200	unreviewed	328	extracellular region [GO:0005576]; periplasmic space [GO:0042597]; glycosyltransferase activity [GO:0016757]; peptidoglycan L,D-transpeptidase activity [GO:0071972]; cell wall organization [GO:0071555]; peptidoglycan-protein cross-linking [GO:0018104]; regulation of cell shape [GO:0008360]	SUBCELLULAR LOCATION: Periplasm {ECO:0000256|ARBA:ARBA00004418}.	Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Hydrolase;Peptidoglycan synthesis;Periplasm;Reference proteome;Signal;Transferase	
A0A0H3GS59	RNA helicase (EC 3.6.4.13)	KPHS_23840	unreviewed	1281	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]		ATP-binding;Helicase;Hydrolase;Nucleotide-binding;Reference proteome	3.6.4.13
A0A0H3GTU4	ECF RNA polymerase sigma-E factor (RNA polymerase sigma-E factor)	KPHS_39700	unreviewed	191	DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]; response to stress [GO:0006950]; response to temperature stimulus [GO:0009266]		DNA-binding;Reference proteome;Sigma factor;Transcription;Transcription regulation	
A0A0H3GVL2	Outer membrane pore protein S1	KPHS_34530	unreviewed	381	cell outer membrane [GO:0009279]; pore complex [GO:0046930]; porin activity [GO:0015288]; monoatomic ion transmembrane transport [GO:0034220]	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|ARBA:ARBA00004571, ECO:0000256|RuleBase:RU000469}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004571, ECO:0000256|RuleBase:RU000469}.	Cell outer membrane;Ion transport;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport	
A0A0H3GGZ6	Chaperone	KPHS_03120	unreviewed	229	outer membrane-bounded periplasmic space [GO:0030288]; cell wall organization [GO:0071555]	SUBCELLULAR LOCATION: Periplasm {ECO:0000256|ARBA:ARBA00004418, ECO:0000256|RuleBase:RU003918}.	Chaperone;Immunoglobulin domain;Periplasm;Reference proteome;Signal	
A0A0H3GIT1	Permease IIC component	KPHS_06750	unreviewed	447	plasma membrane [GO:0005886]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Membrane;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport	
A0A0H3GL94	Nucleoside permease NupC	KPHS_19220	unreviewed	405	plasma membrane [GO:0005886]; cytidine transmembrane transporter activity [GO:0015212]; nucleoside:proton symporter activity [GO:0015506]; uridine transmembrane transporter activity [GO:0015213]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GNH2	LysR-family bacterial regulatory protein	KPHS_22150	unreviewed	284	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; DNA-templated transcription [GO:0006351]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GR82	Colicin V production protein	KPHS_37720	unreviewed	162	membrane [GO:0016020]; toxin biosynthetic process [GO:0009403]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GTB6	Auxiliary transport protein, membrane fusion protein (MFP) family	KPHS_13310	unreviewed	380			Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GUZ6	Fimbrial morphology	KPHS_43600	unreviewed	161	pilus [GO:0009289]; cell adhesion involved in single-species biofilm formation [GO:0043709]		Reference proteome;Signal	
A0A0H3GVI2	Elongation factor P-like protein	KPHS_36690	unreviewed	190	cytosol [GO:0005829]; translation elongation factor activity [GO:0003746]; peptide biosynthetic process [GO:0043043]		Elongation factor;Protein biosynthesis;Reference proteome	
A0A0H3GW51	Transcriptional regulator CysB	KPHS_21760	unreviewed	324	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; cysteine biosynthetic process [GO:0019344]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GWW0	Acetyl-CoA:acetoacetyl-CoA transferase alpha subunit	KPHS_24460	unreviewed	228	CoA-transferase activity [GO:0008410]		Reference proteome;Transferase	
A0A0H3H0A3	Carboxymuconolactone decarboxylase-like domain-containing protein	KPHS_51980	unreviewed	178	peroxiredoxin activity [GO:0051920]		Reference proteome	
A0A0H3GHA7	Sulfur carrier protein ThiS	KPHS_02100	unreviewed	66			Reference proteome	
A0A0H3GM21	Peptide transport periplasmic protein	KPHS_22020	unreviewed	518	ATP-binding cassette (ABC) transporter complex [GO:0043190]; outer membrane-bounded periplasmic space [GO:0030288]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		Reference proteome;Signal	
A0A0H3GMW5	SIS domain-containing protein	KPHS_24620	unreviewed	306	carbohydrate derivative binding [GO:0097367]; carbon-oxygen lyase activity [GO:0016835]; ether hydrolase activity [GO:0016803]; amino sugar catabolic process [GO:0046348]; peptidoglycan turnover [GO:0009254]		Carbohydrate metabolism;Lyase;Reference proteome	
A0A0H3GPA3	Transcriptional regulator, LuxR family	KPHS_13630	unreviewed	231	DNA binding [GO:0003677]; regulation of DNA-templated transcription [GO:0006355]		DNA-binding;Reference proteome	
A0A0H3GQ99	LysR family transcriptional regulator	KPHS_28100	unreviewed	297	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; DNA-templated transcription [GO:0006351]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GR48	Biofilm formation regulatory protein BssS	KPHS_19490	unreviewed	84			Reference proteome	
A0A0H3GRD8	PTS system glucose-specific EIIA component (EIIA-Glc) (EIII-Glc) (Glucose-specific phosphotransferase enzyme IIA component)	KPHS_38320	unreviewed	169	cytoplasm [GO:0005737]; kinase activity [GO:0016301]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.	Kinase;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport	
A0A0H3GRR4	UPF0283 membrane protein KPHS_22140	KPHS_22140	unreviewed	353	plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429, ECO:0000256|HAMAP-Rule:MF_01085}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429, ECO:0000256|HAMAP-Rule:MF_01085}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GV75	UPF0149 protein KPHS_44100	KPHS_44100	unreviewed	164	cytosol [GO:0005829]		Reference proteome	
A0A0H3GXD3	Large ribosomal subunit protein bL28 (50S ribosomal protein L28)	KPHS_51400	unreviewed	66	cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]		Reference proteome;Ribonucleoprotein;Ribosomal protein	
A0A0H3H026	Enzyme	KPHS_33710	unreviewed	322	DNA damage response [GO:0006974]		Reference proteome	
A0A0H3H1Z7	Hemin transport system ATP-binding component	KPHS_41660	unreviewed	259	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]		ATP-binding;Nucleotide-binding;Reference proteome;Translocase;Transport	
A0A0H3H3D6	Glycerate kinase I	KPHS_46710	unreviewed	381	glycerate kinase activity [GO:0008887]; organic acid phosphorylation [GO:0031388]		Kinase;Reference proteome;Transferase	
A0A0H3GM14	Peptide ABC transporter ATP-binding protein	KPHS_21970	unreviewed	269	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transport [GO:0055085]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004417}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004417}.	ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Transport	
A0A0H3GMQ5	Transport permease protein	KPHS_08630	unreviewed	255	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ABC-type transporter activity [GO:0140359]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|RuleBase:RU361157}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU361157}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GNY1	Heat shock protein hslJ	KPHS_23550	unreviewed	148			Reference proteome;Signal;Stress response	
